hs_code,start_date,end_date,name_ko,name_en,quantity_unit,weight_unit,export_code,import_code,spec_name,category_code,category_name
0101211000,20130101,20251231,농가 사육용,For farm breeding,U,KG,11Z01,12399,,11020101,(말)
0101219000,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020101,(말)
0101291000,20120101,20251231,경주말,Horses for racing,U,KG,11Z01,12399,,11020101,(말)
0101299000,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020101,(말)
0101300000,20220101,20251231,당나귀,Asses,U,KG,11Z01,12399,,11020190,(기타 산 동물)
0101900000,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020190,(기타 산 동물)
0102211000,20170101,20251231,젖소,For milk ,U,KG,11Z01,12399,,11020102,(소)
0102212000,20150101,20251231,육우(肉牛),For meat,U,KG,11Z01,12399,,11020102,(소)
0102219000,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020102,(소)
0102291000,20170101,20251231,젖소,For milk ,U,KG,11Z01,12399,,11020102,(소)
0102292000,20150101,20251231,육우(肉牛),For meat,U,KG,11Z01,12399,,11020102,(소)
0102299000,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020102,(소)
0102310000,20140101,20251231,번식용,Pure-bred breeding animals,U,KG,11Z01,12399,,11020102,(소)
0102391000,20170101,20251231,젖소,For milk ,U,KG,11Z01,12399,,11020102,(소)
0102392000,20150101,20251231,육우(肉牛),For meat,U,KG,11Z01,12399,,11020102,(소)
0102399000,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020102,(소)
0102901000,20140101,20251231,번식용,Pure-bred breeding animals,U,KG,11Z01,12399,,11020102,(소)
01029090,20160101,20251231,기타,Other,,,,,,,
0102909010,20120101,20251231,젖소,For milk,U,KG,11Z01,12399,,11020102,(소)
0102909020,20150101,20251231,육우(肉牛),For meat,U,KG,11Z01,12399,,11020102,(소)
0102909090,20120101,20251231,기타,Other,U,KG,11Z01,12399,,11020102,(소)
0103100000,20130101,20251231,번식용,Pure-bred breeding animals,U,KG,11Z01,12399,,11020103,(돼지)
0103910000,20020101,20251231,중량이 50킬로그램 미만인 것,Weighing less than 50 kg,U,KG,11Z01,12399,,11020103,(돼지)
0103920000,20020101,20251231,중량이 50킬로그램 이상인 것,Weighing 50 kg or more,U,KG,11Z01,12399,,11020103,(돼지)
0104101000,20130101,20251231,번식용,Pure-bred breeding animals,U,KG,11Z01,12399,,11020190,(기타 산 동물)
0104109000,20070101,20251231,기타,Other,U,KG,11Z01,12399,,11020190,(기타 산 동물)
0104201000,20220101,20251231,젖염소,Milk goats,U,KG,11Z01,12399,,11020190,(기타 산 동물)
